Month Year,LGA Region,Approved Sites,Operational Sites,Approved EGMs,Operational EGMs,Metered Win
Jul-04,BALONNE,7,6,74,74,139309.64
Jul-04,BANANA,11,11,183,183,296541.83
Jul-04,BARCALDINE,3,3,28,28,
Jul-04,BLACKALL TAMBO,3,3,26,26,
Jul-04,BRISBANE,242,230,8801,8370,32591122.98
Jul-04,BUNDABERG,43,42,1014,968,3468944.68
Jul-04,BURDEKIN,8,8,185,169,440256.83
Jul-04,CAIRNS,44,44,1536,1497,4698889.17
Jul-04,CARPENTARIA,2,2,36,36,
Jul-04,CASSOWARY COAST,17,16,344,324,901792.72
Jul-04,CENTRAL HIGHLANDS,20,20,405,386,1141868.5
Jul-04,CHARTERS TOWERS,10,10,178,178,328243.44
Jul-04,CLONCURRY,6,6,77,77,176176.4
Jul-04,COOK,3,2,25,15,
Jul-04,DOUGLAS,11,11,143,133,482907.79
Jul-04,FLINDERS,3,3,39,39,
Jul-04,FRASER COAST,40,40,1147,1124,3927990.42
Jul-04,GLADSTONE,23,23,558,549,1998615.23
Jul-04,GOLD COAST,131,129,5180,5003,21997380.22
Jul-04,GOONDIWINDI,11,11,183,175,384871.02
Jul-04,GYMPIE,23,23,360,348,1033524.67
Jul-04,HINCHINBROOK,8,7,88,82,250467.97
Jul-04,IPSWICH,41,38,1298,1200,5272361.5
Jul-04,ISAAC,17,17,234,231,658395.81
Jul-04,LIVINGSTONE,13,13,273,260,759295.38
Jul-04,LOCKYER VALLEY,19,19,280,265,767601.46
Jul-04,LOGAN,41,39,1772,1723,10080496.86
Jul-04,LONGREACH,6,6,79,79,123490.23
Jul-04,MACKAY,47,46,1294,1232,3952990.09
Jul-04,MARANOA,8,8,127,127,232043.13
Jul-04,MAREEBA,7,7,177,174,483970.38
Jul-04,MCKINLAY,2,2,21,21,
Jul-04,MORETON BAY,63,63,2610,2564,11937794.39
Jul-04,MOUNT ISA,9,9,506,506,1467412.21
Jul-04,MURWEH,8,8,71,71,154319.35
Jul-04,NOOSA,20,19,559,531,2122100.6
Jul-04,NORTH BURNETT,11,11,103,103,291640.77
Jul-04,PAROO,2,2,25,25,
Jul-04,QUILPIE,1,1,5,5,
Jul-04,REDLAND,28,28,1126,1110,4587508.56
Jul-04,RICHMOND,2,1,16,4,
Jul-04,ROCKHAMPTON,43,42,986,941,3022143.51
Jul-04,SCENIC RIM,21,21,238,236,564725.04
Jul-04,SOMERSET,13,13,135,130,454375.71
Jul-04,SOUTH BURNETT,21,21,334,326,932353.54
Jul-04,SOUTHERN DOWNS,23,23,410,407,881368.85
Jul-04,SUNSHINE COAST,75,73,2572,2478,9415415.29
Jul-04,TABLELANDS,7,6,169,121,338596.39
Jul-04,TOOWOOMBA,59,56,1381,1310,4278594.5
Jul-04,TORRES,4,4,78,78,
Jul-04,TOWNSVILLE,52,48,1406,1310,5192631.89
Jul-04,WEIPA,3,3,51,43,
Jul-04,WESTERN DOWNS,25,25,362,336,680619.14
Jul-04,WHITSUNDAY,28,27,498,495,1661193.08
Jul-04,WINTON,4,4,39,39,
Aug-04,BALONNE,6,6,74,74,119634.66
Aug-04,BANANA,11,11,179,179,306836.28
Aug-04,BARCALDINE,3,3,28,28,
Aug-04,BLACKALL TAMBO,3,3,26,26,
Aug-04,BRISBANE,240,232,8800,8418,31866211.07
Aug-04,BUNDABERG,43,42,1014,968,3376932.21
Aug-04,BURDEKIN,8,8,185,169,425572.59
Aug-04,CAIRNS,44,44,1536,1497,4664594.92
Aug-04,CARPENTARIA,2,2,36,36,
Aug-04,CASSOWARY COAST,17,16,344,324,895399.72
Aug-04,CENTRAL HIGHLANDS,20,20,405,386,1073860.23
Aug-04,CHARTERS TOWERS,10,10,178,178,348964.53
Aug-04,CLONCURRY,6,6,77,77,182668.5
Aug-04,COOK,3,2,25,15,
Aug-04,DOUGLAS,11,11,143,133,498509.11
Aug-04,FLINDERS,3,2,28,28,
Aug-04,FRASER COAST,40,40,1147,1145,3810898.59
Aug-04,GLADSTONE,23,23,558,549,1987593.89
Aug-04,GOLD COAST,132,128,5206,4978,21887793.51
Aug-04,GOONDIWINDI,11,11,183,175,398015.24
Aug-04,GYMPIE,23,23,360,348,990809.3
Aug-04,HINCHINBROOK,8,7,88,82,242550.57
Aug-04,IPSWICH,41,38,1284,1218,5091570.84
Aug-04,ISAAC,17,17,234,231,696004.72
Aug-04,LIVINGSTONE,13,13,268,260,791477.82
Aug-04,LOCKYER VALLEY,19,18,271,257,748162.5
Aug-04,LOGAN,41,39,1777,1717,10108920.81
Aug-04,LONGREACH,6,6,79,79,121314.8
Aug-04,MACKAY,47,45,1294,1227,3913828.54
Aug-04,MARANOA,8,8,127,127,262993.58
Aug-04,MAREEBA,7,7,177,174,492523.47
Aug-04,MCKINLAY,2,2,21,21,
Aug-04,MORETON BAY,63,63,2610,2575,11534975.96
Aug-04,MOUNT ISA,9,9,506,506,1589483.77
Aug-04,MURWEH,8,8,76,71,155326.29
Aug-04,NOOSA,20,19,559,531,2065999.51
Aug-04,NORTH BURNETT,11,11,103,103,281413.57
Aug-04,PAROO,2,2,25,25,
Aug-04,QUILPIE,1,1,5,5,
Aug-04,REDLAND,28,28,1141,1110,4590891.32
Aug-04,RICHMOND,2,1,16,4,
Aug-04,ROCKHAMPTON,43,43,1001,976,2830965.9
Aug-04,SCENIC RIM,21,21,238,238,552041.49
Aug-04,SOMERSET,13,13,135,130,402231.33
Aug-04,SOUTH BURNETT,21,21,334,326,960407.46
Aug-04,SOUTHERN DOWNS,23,23,410,407,874290.06
Aug-04,SUNSHINE COAST,75,73,2642,2437,9235565.75
Aug-04,TABLELANDS,7,6,169,121,287693.67
Aug-04,TOOWOOMBA,58,57,1376,1332,4217788.21
Aug-04,TORRES,4,4,78,78,
Aug-04,TOWNSVILLE,51,49,1406,1320,5170438.76
Aug-04,WEIPA,3,3,51,43,
Aug-04,WESTERN DOWNS,25,25,362,336,638489.62
Aug-04,WHITSUNDAY,28,27,498,495,1675408.5
Aug-04,WINTON,4,4,39,39,
Sep-04,BALONNE,6,6,79,74,125416.23
Sep-04,BANANA,11,11,179,179,335408.91
Sep-04,BARCALDINE,3,3,28,28,
Sep-04,BLACKALL TAMBO,3,3,26,26,
Sep-04,BRISBANE,241,231,8807,8347,31710200.09
Sep-04,BUNDABERG,43,42,1014,968,3403002.06
Sep-04,BURDEKIN,8,8,185,185,471162.17
Sep-04,CAIRNS,44,44,1536,1501,4856190.48
Sep-04,CARPENTARIA,2,2,36,36,
Sep-04,CASSOWARY COAST,17,16,344,326,883396.33
Sep-04,CENTRAL HIGHLANDS,20,20,405,385,1075252.52
Sep-04,CHARTERS TOWERS,10,10,178,178,327976.34
Sep-04,CLONCURRY,6,6,80,77,166842.06
Sep-04,COOK,3,2,25,15,
Sep-04,DOUGLAS,11,11,143,143,491994.09
Sep-04,FLINDERS,2,2,28,28,
Sep-04,FRASER COAST,40,40,1147,1146,3868383.13
Sep-04,GLADSTONE,23,23,563,549,1849393.99
Sep-04,GOLD COAST,131,128,5221,5002,21441725.17
Sep-04,GOONDIWINDI,11,11,183,178,400045.58
Sep-04,GYMPIE,23,23,360,348,975324.08
Sep-04,HINCHINBROOK,8,7,88,82,249781.71
Sep-04,IPSWICH,41,38,1284,1223,5116253.67
Sep-04,ISAAC,17,17,234,231,684467.02
Sep-04,LIVINGSTONE,13,13,268,260,748620.66
Sep-04,LOCKYER VALLEY,18,18,271,266,750390.78
Sep-04,LOGAN,41,39,1777,1722,10026050.12
Sep-04,LONGREACH,6,6,79,79,103591.22
Sep-04,MACKAY,47,45,1307,1235,4007601
Sep-04,MARANOA,8,8,127,127,240739.41
Sep-04,MAREEBA,7,7,186,171,480343.35
Sep-04,MCKINLAY,2,2,21,21,
Sep-04,MORETON BAY,63,63,2680,2578,11512436.7
Sep-04,MOUNT ISA,9,9,506,506,1584183.01
Sep-04,MURWEH,8,8,76,71,156649.86
Sep-04,NOOSA,20,19,559,540,2058874.44
Sep-04,NORTH BURNETT,11,11,103,103,279699.67
Sep-04,PAROO,2,2,25,25,
Sep-04,QUILPIE,1,1,5,5,
Sep-04,REDLAND,28,28,1141,1115,4471828.3
Sep-04,RICHMOND,2,1,8,4,
Sep-04,ROCKHAMPTON,43,42,1001,966,2945091.13
Sep-04,SCENIC RIM,21,21,238,238,569651.57
Sep-04,SOMERSET,14,13,147,130,424762.49
Sep-04,SOUTH BURNETT,21,21,334,326,930204.53
Sep-04,SOUTHERN DOWNS,23,23,410,409,880435.69
Sep-04,SUNSHINE COAST,75,74,2642,2512,9002086.56
Sep-04,TABLELANDS,7,6,169,121,318501.34
Sep-04,TOOWOOMBA,58,57,1389,1332,4156584.16
Sep-04,TORRES,4,4,78,78,
Sep-04,TOWNSVILLE,51,49,1415,1320,5261179.73
Sep-04,WEIPA,3,3,51,43,
Sep-04,WESTERN DOWNS,25,25,362,340,645303.53
Sep-04,WHITSUNDAY,28,27,498,495,1707872.78
Sep-04,WINTON,4,4,39,39,
Oct-04,BALONNE,6,6,79,79,130984.01
Oct-04,BANANA,11,11,179,179,336815.81
Oct-04,BARCALDINE,3,3,28,28,
Oct-04,BLACKALL TAMBO,3,3,26,26,
Oct-04,BRISBANE,241,232,8815,8395,33455868.28
Oct-04,BUNDABERG,43,42,1014,968,3353350.39
Oct-04,BURDEKIN,8,8,185,185,464402.15
Oct-04,CAIRNS,44,43,1536,1493,4579344.29
Oct-04,CARPENTARIA,2,2,36,36,
Oct-04,CASSOWARY COAST,17,16,344,331,910034.84
Oct-04,CENTRAL HIGHLANDS,20,20,405,386,1138404.56
Oct-04,CHARTERS TOWERS,10,10,178,178,311710.01
Oct-04,CLONCURRY,6,6,80,77,156871.51
Oct-04,COOK,3,3,25,25,
Oct-04,DOUGLAS,11,11,151,143,471223.07
Oct-04,FLINDERS,2,2,28,28,
Oct-04,FRASER COAST,40,40,1147,1147,4116721.37
Oct-04,GLADSTONE,23,23,563,549,1938669.3
Oct-04,GOLD COAST,131,128,5221,5009,22677210.6
Oct-04,GOONDIWINDI,11,11,183,179,375053.23
Oct-04,GYMPIE,23,23,378,348,1038520.62
Oct-04,HINCHINBROOK,8,7,88,82,238287.27
Oct-04,IPSWICH,41,38,1259,1228,5331322.8
Oct-04,ISAAC,17,17,234,234,678156.6
Oct-04,LIVINGSTONE,13,13,278,260,777594.34
Oct-04,LOCKYER VALLEY,18,18,274,266,772736.99
Oct-04,LOGAN,41,39,1777,1728,10212764.85
Oct-04,LONGREACH,6,6,79,79,107505.84
Oct-04,MACKAY,47,45,1307,1239,4110642
Oct-04,MARANOA,8,8,127,127,252851.36
Oct-04,MAREEBA,7,7,186,180,457186.1
Oct-04,MCKINLAY,2,2,21,21,
Oct-04,MORETON BAY,63,63,2680,2585,12099028.17
Oct-04,MOUNT ISA,9,9,506,506,1507233.91
Oct-04,MURWEH,8,8,76,70,141793.49
Oct-04,NOOSA,20,20,561,554,2123449.1
Oct-04,NORTH BURNETT,11,11,103,103,247542.23
Oct-04,PAROO,2,2,25,25,
Oct-04,QUILPIE,1,1,5,5,
Oct-04,REDLAND,28,28,1141,1115,4757409.28
Oct-04,RICHMOND,2,1,8,8,
Oct-04,ROCKHAMPTON,43,41,1001,959,3069772.49
Oct-04,SCENIC RIM,21,21,238,238,595689.29
Oct-04,SOMERSET,14,13,147,130,400426.45
Oct-04,SOUTH BURNETT,21,21,334,326,921754.78
Oct-04,SOUTHERN DOWNS,23,23,410,409,945358.86
Oct-04,SUNSHINE COAST,75,74,2716,2522,9741927.36
Oct-04,TABLELANDS,7,6,169,121,328930.12
Oct-04,TOOWOOMBA,58,57,1389,1346,4284555.13
Oct-04,TORRES,4,4,78,78,
Oct-04,TOWNSVILLE,51,50,1415,1345,5223719.64
Oct-04,WEIPA,3,3,51,43,
Oct-04,WESTERN DOWNS,25,25,362,347,675362.72
Oct-04,WHITSUNDAY,28,27,498,495,1635291.25
Oct-04,WINTON,4,4,39,39,
Nov-04,BALONNE,6,6,79,79,133687.57
Nov-04,BANANA,11,11,179,179,286982.47
Nov-04,BARCALDINE,3,3,28,28,
Nov-04,BLACKALL TAMBO,3,3,26,26,
Nov-04,BRISBANE,241,230,8834,8363,31568400.77
Nov-04,BUNDABERG,43,42,1014,923,3202781.83
Nov-04,BURDEKIN,8,8,185,185,425690.24
Nov-04,CAIRNS,44,43,1536,1493,4303245.79
Nov-04,CARPENTARIA,2,2,36,36,
Nov-04,CASSOWARY COAST,17,16,344,333,852278.32
Nov-04,CENTRAL HIGHLANDS,20,20,405,386,1106892.82
Nov-04,CHARTERS TOWERS,10,10,178,178,294217.26
Nov-04,CLONCURRY,6,6,80,77,159817.09
Nov-04,COOK,3,3,25,25,
Nov-04,DOUGLAS,11,11,151,145,414572.05
Nov-04,FLINDERS,2,2,28,28,
Nov-04,FRASER COAST,40,40,1147,1147,3626433.08
Nov-04,GLADSTONE,23,23,560,555,1752405.29
Nov-04,GOLD COAST,131,128,5223,5047,21102452.76
Nov-04,GOONDIWINDI,11,11,183,179,396697.14
Nov-04,GYMPIE,23,23,378,348,958712.34
Nov-04,HINCHINBROOK,8,7,94,82,215652.74
Nov-04,IPSWICH,40,38,1258,1227,4913348.27
Nov-04,ISAAC,17,17,234,222,612168.54
Nov-04,LIVINGSTONE,13,13,278,260,707366.8
Nov-04,LOCKYER VALLEY,18,18,274,266,747072.57
Nov-04,LOGAN,41,39,1777,1728,9582090.41
Nov-04,LONGREACH,6,6,79,79,91636.74
Nov-04,MACKAY,47,45,1316,1239,3812099.86
Nov-04,MARANOA,8,8,127,127,239776.29
Nov-04,MAREEBA,7,7,186,186,430591.05
Nov-04,MCKINLAY,2,2,21,21,
Nov-04,MORETON BAY,63,63,2685,2568,11263090.74
Nov-04,MOUNT ISA,9,9,506,506,1459926.37
Nov-04,MURWEH,8,8,76,76,153538.6
Nov-04,NOOSA,20,20,557,554,2104639.22
Nov-04,NORTH BURNETT,11,11,103,103,206438.02
Nov-04,PAROO,2,2,25,25,
Nov-04,QUILPIE,1,1,5,5,
Nov-04,REDLAND,28,28,1149,1117,4391828.02
Nov-04,RICHMOND,2,1,8,8,
Nov-04,ROCKHAMPTON,42,41,991,959,2825238.49
Nov-04,SCENIC RIM,21,21,238,238,514729.31
Nov-04,SOMERSET,14,13,147,130,402479.79
Nov-04,SOUTH BURNETT,21,21,334,326,848200.35
Nov-04,SOUTHERN DOWNS,23,23,409,409,845316.37
Nov-04,SUNSHINE COAST,75,74,2712,2527,8962785.22
Nov-04,TABLELANDS,7,6,169,121,308958.46
Nov-04,TOOWOOMBA,58,57,1398,1351,3891530.98
Nov-04,TORRES,4,4,78,78,
Nov-04,TOWNSVILLE,51,51,1410,1385,5103387.53
Nov-04,WEIPA,3,3,51,43,
Nov-04,WESTERN DOWNS,25,24,358,346,612223.47
Nov-04,WHITSUNDAY,27,26,492,491,1409829.83
Nov-04,WINTON,4,4,39,39,
Dec-04,BALONNE,6,6,79,76,163809.25
Dec-04,BANANA,11,11,179,179,296210.64
Dec-04,BARCALDINE,3,3,28,28,
Dec-04,BLACKALL TAMBO,3,3,26,26,
Dec-04,BRISBANE,242,233,8924,8513,33087956.49
Dec-04,BUNDABERG,43,42,1014,976,3379325.19
Dec-04,BURDEKIN,8,8,185,185,490214.54
Dec-04,CAIRNS,44,43,1540,1509,4638577.04
Dec-04,CARPENTARIA,2,2,36,36,
Dec-04,CASSOWARY COAST,17,16,344,331,924715.92
Dec-04,CENTRAL HIGHLANDS,20,20,400,396,1171919.45
Dec-04,CHARTERS TOWERS,10,10,178,178,327244.49
Dec-04,CLONCURRY,6,6,80,77,160239.82
Dec-04,COOK,3,3,25,25,
Dec-04,DOUGLAS,11,11,151,145,388346.43
Dec-04,FLINDERS,2,2,28,28,
Dec-04,FRASER COAST,40,40,1147,1147,3944601.08
Dec-04,GLADSTONE,23,23,560,555,1784444.21
Dec-04,GOLD COAST,131,128,5240,5106,21754045.98
Dec-04,GOONDIWINDI,11,11,183,179,416315.32
Dec-04,GYMPIE,23,23,381,358,1030901.47
Dec-04,HINCHINBROOK,8,7,94,82,235514.15
Dec-04,IPSWICH,40,39,1366,1233,5248464.06
Dec-04,ISAAC,17,17,234,234,585096.79
Dec-04,LIVINGSTONE,13,13,278,274,765720.32
Dec-04,LOCKYER VALLEY,18,18,274,266,775944.56
Dec-04,LOGAN,41,40,1801,1768,10050125.32
Dec-04,LONGREACH,6,6,79,79,82027.39
Dec-04,MACKAY,47,45,1316,1257,3997275.07
Dec-04,MARANOA,8,8,127,127,238615.84
Dec-04,MAREEBA,7,7,186,186,504463.04
Dec-04,MCKINLAY,2,2,21,21,
Dec-04,MORETON BAY,63,63,2685,2600,11818010.01
Dec-04,MOUNT ISA,9,9,506,506,1532686.48
Dec-04,MURWEH,8,8,76,76,140233.92
Dec-04,NOOSA,20,20,557,554,1971617.92
Dec-04,NORTH BURNETT,11,11,103,103,237718.82
Dec-04,PAROO,2,2,25,25,
Dec-04,QUILPIE,1,1,5,5,
Dec-04,REDLAND,28,28,1161,1133,4684940.87
Dec-04,RICHMOND,2,1,8,8,
Dec-04,ROCKHAMPTON,42,41,991,959,3101278.39
Dec-04,SCENIC RIM,21,20,238,236,566271.93
Dec-04,SOMERSET,14,13,147,130,370578.14
Dec-04,SOUTH BURNETT,21,21,338,329,884857.15
Dec-04,SOUTHERN DOWNS,23,23,409,408,934834.51
Dec-04,SUNSHINE COAST,75,75,2712,2560,9366892.38
Dec-04,TABLELANDS,7,6,169,108,323648.2
Dec-04,TOOWOOMBA,58,57,1408,1355,4093710.36
Dec-04,TORRES,4,4,78,78,
Dec-04,TOWNSVILLE,51,51,1410,1380,5336264.67
Dec-04,WEIPA,3,3,51,43,
Dec-04,WESTERN DOWNS,25,24,368,355,644146.83
Dec-04,WHITSUNDAY,26,26,492,492,1378280.58
Dec-04,WINTON,4,4,39,39,
Jan-05,BALONNE,6,6,79,78,162989.88
Jan-05,BANANA,11,11,179,179,274951.26
Jan-05,BARCALDINE,3,3,28,28,
Jan-05,BLACKALL TAMBO,3,3,26,26,
Jan-05,BRISBANE,242,232,8891,8443,30153299.14
Jan-05,BUNDABERG,43,42,1014,976,3199328.53
Jan-05,BURDEKIN,8,8,185,185,413612.55
Jan-05,CAIRNS,44,43,1540,1523,4184020.59
Jan-05,CARPENTARIA,2,2,36,36,
Jan-05,CASSOWARY COAST,17,16,343,333,804759.45
Jan-05,CENTRAL HIGHLANDS,20,20,400,396,919751
Jan-05,CHARTERS TOWERS,10,10,178,178,266332.12
Jan-05,CLONCURRY,6,6,80,77,118749.38
Jan-05,COOK,3,3,25,25,
Jan-05,DOUGLAS,11,11,151,145,381709.02
Jan-05,FLINDERS,2,2,28,28,
Jan-05,FRASER COAST,40,40,1147,1147,3792999.73
Jan-05,GLADSTONE,23,23,560,555,1647407.97
Jan-05,GOLD COAST,131,128,5239,5113,20905215.48
Jan-05,GOONDIWINDI,11,11,183,179,371612.6
Jan-05,GYMPIE,23,22,370,345,964266.15
Jan-05,HINCHINBROOK,8,7,94,82,197582.57
Jan-05,IPSWICH,40,39,1366,1238,4585562.55
Jan-05,ISAAC,17,17,234,234,552968.41
Jan-05,LIVINGSTONE,13,13,278,274,759544.2
Jan-05,LOCKYER VALLEY,18,18,274,266,688064.61
Jan-05,LOGAN,41,39,1801,1754,8959038.83
Jan-05,LONGREACH,6,6,79,79,63967.7
Jan-05,MACKAY,47,45,1316,1268,3617837.61
Jan-05,MARANOA,8,8,127,127,190467.74
Jan-05,MAREEBA,7,7,186,186,467622.18
Jan-05,MCKINLAY,2,2,21,21,
Jan-05,MORETON BAY,63,63,2685,2588,10871369.88
Jan-05,MOUNT ISA,9,8,506,471,1318630.72
Jan-05,MURWEH,8,8,76,76,138606.75
Jan-05,NOOSA,20,20,557,554,2046732.04
Jan-05,NORTH BURNETT,11,11,103,103,197386.54
Jan-05,PAROO,2,2,25,25,
Jan-05,QUILPIE,1,1,5,5,
Jan-05,REDLAND,28,28,1161,1133,4416055.57
Jan-05,RICHMOND,2,1,8,8,
Jan-05,ROCKHAMPTON,42,41,991,964,2755227.77
Jan-05,SCENIC RIM,21,20,236,236,502334.11
Jan-05,SOMERSET,14,13,147,130,357050.4
Jan-05,SOUTH BURNETT,21,21,338,331,833862.81
Jan-05,SOUTHERN DOWNS,23,23,409,408,834592.18
Jan-05,SUNSHINE COAST,75,75,2709,2560,9131740.51
Jan-05,TABLELANDS,7,6,169,129,295815.79
Jan-05,TOOWOOMBA,58,56,1408,1336,3822587.34
Jan-05,TORRES,4,4,78,78,
Jan-05,TOWNSVILLE,51,50,1410,1375,4565040.19
Jan-05,WEIPA,3,3,51,43,
Jan-05,WESTERN DOWNS,25,24,368,355,582717.2
Jan-05,WHITSUNDAY,26,26,492,492,1338700.1
Jan-05,WINTON,4,4,39,39,
Feb-05,BALONNE,6,6,79,79,124795.07
Feb-05,BANANA,12,11,185,179,272107.51
Feb-05,BARCALDINE,3,3,28,28,
Feb-05,BLACKALL TAMBO,3,3,26,26,
Feb-05,BRISBANE,243,233,8938,8603,28209513.1
Feb-05,BUNDABERG,43,42,1014,975,2838272.75
Feb-05,BURDEKIN,8,8,185,185,381728.71
Feb-05,CAIRNS,44,43,1545,1523,3902523.12
Feb-05,CARPENTARIA,2,2,36,36,
Feb-05,CASSOWARY COAST,17,15,343,323,735328.59
Feb-05,CENTRAL HIGHLANDS,20,20,412,394,960286.9
Feb-05,CHARTERS TOWERS,10,10,178,178,236170.16
Feb-05,CLONCURRY,6,6,80,77,132484.04
Feb-05,COOK,3,3,25,25,
Feb-05,DOUGLAS,11,11,155,145,342874.41
Feb-05,FLINDERS,2,2,34,28,
Feb-05,FRASER COAST,40,40,1156,1146,3260857.9
Feb-05,GLADSTONE,23,23,560,555,1574866.16
Feb-05,GOLD COAST,131,128,5267,5115,18925390.8
Feb-05,GOONDIWINDI,11,11,179,179,365524.38
Feb-05,GYMPIE,23,22,365,345,877967.08
Feb-05,HINCHINBROOK,8,7,95,82,192964.96
Feb-05,IPSWICH,40,40,1366,1246,4441110.56
Feb-05,ISAAC,17,17,234,234,592825.14
Feb-05,LIVINGSTONE,13,13,278,274,623380.5
Feb-05,LOCKYER VALLEY,18,18,274,267,621689.53
Feb-05,LOGAN,42,40,1832,1760,8396311.23
Feb-05,LONGREACH,6,6,84,79,83301.15
Feb-05,MACKAY,47,45,1316,1273,3562944.74
Feb-05,MARANOA,8,8,127,127,197062.27
Feb-05,MAREEBA,7,7,186,186,425019.78
Feb-05,MCKINLAY,2,2,21,21,
Feb-05,MORETON BAY,63,63,2685,2584,9982054.75
Feb-05,MOUNT ISA,9,8,506,471,1264521.08
Feb-05,MURWEH,8,8,76,76,123577.23
Feb-05,NOOSA,20,20,557,556,1709240.16
Feb-05,NORTH BURNETT,11,11,103,103,181403.47
Feb-05,PAROO,2,2,25,25,
Feb-05,QUILPIE,1,1,5,5,
Feb-05,REDLAND,28,28,1164,1137,3930294.42
Feb-05,RICHMOND,2,1,8,8,
Feb-05,ROCKHAMPTON,42,41,991,964,2506049.82
Feb-05,SCENIC RIM,21,20,236,236,487247.65
Feb-05,SOMERSET,14,13,147,130,352562.8
Feb-05,SOUTH BURNETT,21,21,333,331,792443.67
Feb-05,SOUTHERN DOWNS,23,22,412,406,794973.82
Feb-05,SUNSHINE COAST,77,75,2775,2560,7969738.11
Feb-05,TABLELANDS,7,6,169,129,300841.68
Feb-05,TOOWOOMBA,58,57,1421,1355,3515824.27
Feb-05,TORRES,4,4,83,78,
Feb-05,TOWNSVILLE,51,49,1410,1341,4460696.84
Feb-05,WEIPA,3,3,51,43,
Feb-05,WESTERN DOWNS,25,24,372,355,566040.02
Feb-05,WHITSUNDAY,26,26,492,492,1126497.97
Feb-05,WINTON,4,4,39,39,
Mar-05,BALONNE,6,6,79,79,150673.64
Mar-05,BANANA,12,10,185,175,317112.2
Mar-05,BARCALDINE,3,3,28,28,
Mar-05,BLACKALL TAMBO,3,3,26,26,
Mar-05,BRISBANE,243,234,8936,8624,31471659.66
Mar-05,BUNDABERG,43,41,1013,976,3131118.24
Mar-05,BURDEKIN,8,8,185,185,467785.18
Mar-05,CAIRNS,44,43,1540,1516,4337190.93
Mar-05,CARPENTARIA,2,2,36,36,
Mar-05,CASSOWARY COAST,17,15,343,322,827729.88
Mar-05,CENTRAL HIGHLANDS,20,20,412,396,1051320.77
Mar-05,CHARTERS TOWERS,10,10,178,178,268282.8
Mar-05,CLONCURRY,6,6,77,77,140167.92
Mar-05,COOK,3,3,25,25,
Mar-05,DOUGLAS,11,11,155,151,365318.14
Mar-05,FLINDERS,2,2,34,28,
Mar-05,FRASER COAST,40,40,1156,1143,3748006.4
Mar-05,GLADSTONE,23,23,555,555,1842330.88
Mar-05,GOLD COAST,131,128,5267,5109,20862615.31
Mar-05,GOONDIWINDI,11,11,179,174,379740.61
Mar-05,GYMPIE,23,22,365,360,993664.51
Mar-05,HINCHINBROOK,8,7,95,82,217994.71
Mar-05,IPSWICH,40,40,1356,1240,4864673.56
Mar-05,ISAAC,17,17,234,234,634515.96
Mar-05,LIVINGSTONE,13,13,278,274,729051.69
Mar-05,LOCKYER VALLEY,18,17,274,252,684697.86
Mar-05,LOGAN,42,40,1832,1765,9136753.34
Mar-05,LONGREACH,6,6,84,79,81916.49
Mar-05,MACKAY,47,45,1308,1272,4052182.28
Mar-05,MARANOA,8,8,127,127,218109.72
Mar-05,MAREEBA,7,7,186,186,441543.69
Mar-05,MCKINLAY,2,2,21,21,
Mar-05,MORETON BAY,63,62,2685,2594,10916068.2
Mar-05,MOUNT ISA,9,8,506,471,1338032.93
Mar-05,MURWEH,8,8,76,76,120809.03
Mar-05,NOOSA,20,20,557,557,2044058.56
Mar-05,NORTH BURNETT,11,11,103,103,190645.58
Mar-05,PAROO,2,2,25,25,
Mar-05,QUILPIE,1,1,5,5,
Mar-05,REDLAND,28,28,1164,1150,4335477.13
Mar-05,RICHMOND,2,1,8,8,
Mar-05,ROCKHAMPTON,42,41,991,961,2768161.68
Mar-05,SCENIC RIM,21,20,236,236,547405.25
Mar-05,SOMERSET,14,12,142,128,338186.19
Mar-05,SOUTH BURNETT,21,21,333,331,862244.94
Mar-05,SOUTHERN DOWNS,23,22,412,402,909400.58
Mar-05,SUNSHINE COAST,77,75,2755,2526,8995363.72
Mar-05,TABLELANDS,7,6,169,129,332299.42
Mar-05,TOOWOOMBA,58,57,1421,1370,3897049.25
Mar-05,TORRES,4,4,83,78,
Mar-05,TOWNSVILLE,51,50,1410,1369,5030862.48
Mar-05,WEIPA,3,3,51,43,
Mar-05,WESTERN DOWNS,25,24,367,355,596202.61
Mar-05,WHITSUNDAY,26,26,492,492,1328440.2
Mar-05,WINTON,4,4,39,39,
Apr-05,BALONNE,6,6,79,79,159246.96
Apr-05,BANANA,12,11,185,179,299440.27
Apr-05,BARCALDINE,3,3,28,28,
Apr-05,BLACKALL TAMBO,3,3,26,26,
Apr-05,BRISBANE,243,234,8959,8642,31873600.54
Apr-05,BUNDABERG,43,41,1074,982,3421709.13
Apr-05,BURDEKIN,8,8,185,185,456764.04
Apr-05,CAIRNS,44,43,1549,1523,4478411.62
Apr-05,CARPENTARIA,2,2,36,36,
Apr-05,CASSOWARY COAST,17,16,343,339,844966.35
Apr-05,CENTRAL HIGHLANDS,20,20,412,400,1101041.8
Apr-05,CHARTERS TOWERS,10,10,178,178,271342.89
Apr-05,CLONCURRY,6,6,77,77,148222.82
Apr-05,COOK,3,3,25,25,
Apr-05,DOUGLAS,11,11,155,151,401560.95
Apr-05,FLINDERS,2,2,34,28,
Apr-05,FRASER COAST,40,40,1161,1147,3940359.02
Apr-05,GLADSTONE,23,22,572,531,1800976.53
Apr-05,GOLD COAST,131,129,5297,5155,20961478.89
